,Site_1,Site_2,Site_3,Site_4,Site_5,Site_6,Site_7,Site_8,Site_9,Site_10,Site_11,Site_12,Site_13,Site_14,Site_15,Site_16,Site_17,Site_18,Site_19,Site_20,Site_21,Site_22,Site_23,Site_24,Site_25,Site_26,Site_27,Site_28,Site_29,Site_30,Site_31,Site_32,Site_33,Site_34,Site_35,Site_36,Site_37,Site_38,Site_39,Site_40,Site_41,Site_42,Site_43,Site_44,Site_45,Site_46,Site_47,Site_48,Site_49,Site_50
OTU_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,1,2,1,1,2,1,1,1,1,3,1,1
OTU_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,2,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1
OTU_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OTU_4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OTU_5,82,423,250,115,326,94,63,169,48,111,241,122,173,85,353,156,221,182,298,130,39,374,112,254,188,491,38,81,75,40,63,268,34,281,135,257,83,125,235,140,171,323,235,307,367,239,93,233,69,218
OTU_6,1,1,1,6,1,1,1,121,13,2,12,1,21,5,76,5,3,1,1,12,9,17,67,45,1,52,17,57,17,1,6,17,42,4,1,1,23,56,5,13,7,81,58,5,1,64,1,1,5,1
OTU_7,1,1,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1
OTU_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OTU_9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OTU_10,4,1,15,36,2,10,3,1,1,3,6,76,7,62,6,32,32,30,1,1,1,9,2,4,2,2,3,1,1,3,11,1,1,1,176,1,39,1,1,3,1,1,90,1,10,23,1,1,60,11
OTU_11,228,391,81,133,380,143,345,95,89,364,306,652,216,162,197,277,224,363,320,372,400,193,405,442,348,282,472,240,222,251,96,131,203,199,227,322,264,87,145,110,269,433,233,262,486,388,479,738,274,70
